,venue,locality,postal_code,street,country,latitude,longitude,venue_website
/venues/1580123,Industriestrasse 9,Luzern,,Industriestrasse 9,Switzerland,47.04144,8.31136,
/venues/3902544,Fricks Monti,Basel,,Kaistenbergstrasse 5,Switzerland,47.50816,8.02052,
/venues/2113749,Monti,Basel,,Kaistenbergstrasse 5,Switzerland,47.50816,8.020489999999999,
/venues/393041,Papiersaal,Zürich,8045,Kalanderplatz 1,Switzerland,47.35803,8.52327,
/venues/3526999,Sihlcity,Zürich,8045,Kalanderplatz 1,Switzerland,47.3581,8.52329,http://www.sihlcity.ch
/venues/4381623,Voice+Music Academy Zürich,Zürich,8004,Kanonengasse 18,Switzerland,47.37733,8.52961,
/venues/2667973,Voices on Stage,Zürich,,Kanonengasse 18,Switzerland,47.37746,8.5297,
/venues/1129916,Alte Kaserne,Zürich,8001,Kanonengasse 20,Switzerland,47.37789,8.53007,
/venues/4364207,Festival IOIC,Zürich,8004,Kanonengasse 20,Switzerland,47.377720000000004,8.53058,
/venues/114659,Kanzlei Club,Zürich,8004,Kanzleistrasse 56,Switzerland,47.37552,8.52581,http://www.kanzlei.ch/
