,genre_id,genre_name,genre_name_edited,top_genre_id,top_genre_name,unique_top_genre,everynoise_id,everynoise_name,discogs_genre_name,discogs_style_name
2401,Q5421158,experimental hip hop,experimental hip hop,Q11401,hip hop music,0.0,hiphopexperimental,hip-hop experimental,,
2402,Q5421158,experimental hip hop,experimental hip hop,Q1640319,experimental music,0.0,hiphopexperimental,hip-hop experimental,,
2403,Q1640319,experimental music,experimental,Q1640319,experimental music,0.0,experimental,experimental,,experimental
2404,Q25094591,experimental pop,experimental pop,Q37073,pop music,0.0,experimentalpop,experimental pop,,
2405,Q1641839,experimental rock,experimental rock,Q11399,rock music,0.0,experimentalrock,experimental rock,,
2406,Q1641839,experimental rock,experimental rock,Q1640319,experimental music,0.0,experimentalrock,experimental rock,,
2407,Q105636937,experimental techno,experimental techno,Q9778,electronic music,0.0,experimentaltechno,experimental techno,,
2408,Q105636937,experimental techno,experimental techno,Q316930,dance music,0.0,experimentaltechno,experimental techno,,
2409,Q613707,expressionist music,expressionist,Q1583807,art music,0.0,,,,
2410,Q5421790,extempo,extempo,Q205049,world music,0.0,,,,
2411,Q3062629,extratone,extratone,Q9778,electronic music,0.0,,,,
2412,Q3062629,extratone,extratone,Q316930,dance music,0.0,,,,
2413,Q465978,extreme metal,extreme metal,Q11399,rock music,0.0,,,,
2414,Q185676,fado,fado,Q205049,world music,0.0,fado,fado,,fado
2415,Q185676,fado,fado,Q43343,folk music,0.0,fado,fado,,fado
2416,Q5431633,falak music,falak,Q5431633,falak music,1.0,,,,
2417,Q5433431,famo,famo,Q5433431,famo,1.0,,,,
2418,Q1130969,fandango,fandango,Q1130969,fandango,0.0,,,,
2419,Q25413973,fandango (colombia),fandango (colombia),Q1130969,fandango,0.0,,,,
2420,Q638569,fanfare,fanfare,Q638569,fanfare,1.0,,,,
2421,Q836571,fantasia,fantasia,Q836571,fantasia,1.0,,,,
2422,Q6016474,fantezi,fantezi,Q6016474,fantezi,1.0,,,,
2423,Q108297239,faroese folk music,faroese folk,Q108297239,faroese folk music,1.0,faroesefolk,faroese folk,,
2424,Q108297239,faroese folk music,faroese folk,Q205049,world music,0.0,faroesefolk,faroese folk,,
2425,Q108297239,faroese folk music,faroese folk,Q43343,folk music,0.0,faroesefolk,faroese folk,,
2426,Q1516324,fast polka,fast polka,Q153071,polka,0.0,,,,
2427,Q1516324,fast polka,fast polka,Q316930,dance music,0.0,,,,
2428,Q5437134,fasıl,fasıl,Q1583807,art music,0.0,,,,
2429,Q1328468,fauxbourdon,fauxbourdon,Q1328468,fauxbourdon,1.0,,,,
2430,Q1398916,favola,favola,Q37073,pop music,0.0,,,,
2431,Q5442427,fell,fell,Q5442427,fell,1.0,,,,
2432,Q12714622,fenta,fenta,Q43343,folk music,0.0,,,,
2433,Q12714622,fenta,fenta,Q4585173,gangar,0.0,,,,
2434,Q12714622,fenta,fenta,Q205049,world music,0.0,,,,
2435,Q2259405,fescennine verses,fescennine verses,Q2259405,fescennine verses,1.0,,,,
2436,Q5445668,festejo,festejo,Q5445668,festejo,1.0,,,,
2437,Q106634944,festival progressive house,festival progressive house,Q9778,electronic music,0.0,,,,
2438,Q106634944,festival progressive house,festival progressive house,Q316930,dance music,0.0,,,,
2439,Q2365784,fidget house,fidget house,Q9778,electronic music,0.0,fidgethouse,fidget house,,
2440,Q2365784,fidget house,fidget house,Q316930,dance music,0.0,fidgethouse,fidget house,,
2441,Q896981,field holler,field holler,Q43343,folk music,0.0,,,,
2442,Q896981,field holler,field holler,Q205049,world music,0.0,,,,
2443,Q5447390,fife and drum blues,fife and drum blues,Q5447390,fife and drum blues,1.0,fifeanddrum,fife and drum,,
2444,Q261434,fight song,fight song,Q261434,fight song,1.0,,,,
2445,Q5393053,filin,filin,Q1544863,music of cuba,0.0,,,,
2446,Q5393053,filin,filin,Q205049,world music,0.0,,,,
2447,Q5393053,filin,filin,Q15830404,bolero,0.0,,,,
2448,Q1414130,filk,filk,Q19678100,nerd music,0.0,,,,filk
2449,Q1414130,filk,filk,Q1414130,filk,1.0,,,,filk
2450,Q1414130,filk,filk,Q43343,folk music,0.0,,,,filk
2451,Q492264,film score,film score,Q26897135,functional music,0.0,,,,
2452,Q544440,filmi music,filmi,Q26897135,functional music,0.0,filmi,filmi,,
2453,Q544440,filmi music,filmi,Q205049,world music,0.0,filmi,filmi,,
2454,Q5449125,filmi pop,filmi pop,Q5449125,filmi pop,1.0,,,,
2455,Q5449126,filmi qawwali,filmi qawwali,Q205049,world music,0.0,,,,
2456,Q5449126,filmi qawwali,filmi qawwali,Q1583807,art music,0.0,,,,
2457,Q5449126,filmi qawwali,filmi qawwali,Q512410,qawwali,0.0,,,,
2458,Q5449126,filmi qawwali,filmi qawwali,Q26897135,functional music,0.0,,,,
2459,Q5449121,filmi-ghazal,filmi ghazal,Q26897135,functional music,0.0,,,,
2460,Q5449121,filmi-ghazal,filmi ghazal,Q281111,ghazal,0.0,,,,
